,day,hour,Close,Volume,year,month,date,compound,pos,neg,neu
81,17,18,11.2388,4812196.0,2021,2,2021-02-17 18:30:00+00:00,60.27,143.1,115.97,740.94
82,17,19,11.435,4817148.0,2021,2,2021-02-17 19:30:00+00:00,84.726,168.88,109.54,721.61
83,17,20,11.4613,3356068.0,2021,2,2021-02-17 20:30:00+00:00,-13.4184,143.393,152.329,694.258
84,18,14,11.2975,9949252.0,2021,2,2021-02-18 14:30:00+00:00,85.13000000000001,179.66,106.52,703.84
85,18,15,10.9625,6158880.0,2021,2,2021-02-18 15:30:00+00:00,10.183,150.4,145.36,674.24
86,18,16,11.0217,7462520.0,2021,2,2021-02-18 16:30:00+00:00,10.797,135.72,121.60000000000001,742.7
87,18,17,11.0612,24696000.0,2021,2,2021-02-18 17:30:00+00:00,25.111,170.98,108.86,690.18
88,18,18,10.9629,9241532.0,2021,2,2021-02-18 18:30:00+00:00,52.1,168.5,110.34,721.16
89,18,19,10.5075,6654544.0,2021,2,2021-02-18 19:30:00+00:00,36.151900000000005,144.831,99.2,745.958
90,18,20,10.175,9082176.0,2021,2,2021-02-18 20:30:00+00:00,39.327,177.9,115.09,706.99
91,19,14,10.6975,9961688.0,2021,2,2021-02-19 14:30:00+00:00,59.084,170.51,125.45,704.05
92,19,15,10.4775,7292536.0,2021,2,2021-02-19 15:30:00+00:00,79.276,146.64000000000001,71.8,771.58
93,19,16,10.3869,1909480.0,2021,2,2021-02-19 16:30:00+00:00,66.69800000000001,176.16,98.59,675.24
94,19,17,9.7669,9217264.0,2021,2,2021-02-19 17:30:00+00:00,104.5481,183.537,106.72,709.743
95,19,18,9.6555,4561132.0,2021,2,2021-02-19 18:30:00+00:00,33.208,143.22,118.06,718.7
96,19,19,9.9675,6690472.0,2021,2,2021-02-19 19:30:00+00:00,126.711,185.69,102.9,701.41
97,19,20,10.17,3695016.0,2021,2,2021-02-19 20:30:00+00:00,91.4231,153.068,98.35900000000001,727.584
98,22,14,11.0475,25140544.0,2021,2,2021-02-22 14:30:00+00:00,78.614,217.44,113.13,649.44
99,22,15,10.8575,7045000.0,2021,2,2021-02-22 15:30:00+00:00,13.8345,152.656,142.413,694.941
100,22,16,11.0448,7252268.0,2021,2,2021-02-22 16:30:00+00:00,86.914,146.58,104.64999999999999,738.77
101,22,17,10.9396,2113456.0,2021,2,2021-02-22 17:30:00+00:00,66.0788,159.01500000000001,116.02,692.965
102,22,18,11.3937,3031676.0,2021,2,2021-02-22 18:30:00+00:00,42.703,175.85,118.7,695.46
